Scenario,Område,Kilde,Parameter,Verdi (tonn)
Baseline,003,Kommunalt avløp,DIN,209.76988333203747
Baseline,003,Kommunalt avløp,SS,186.03971225651094
Baseline,003,Kommunalt avløp,TDP,0.48064328711978344
Baseline,003,Kommunalt avløp,TOC,350.40819232684316
Baseline,003,Kommunalt avløp,TON,81.3108923122854
Baseline,003,Kommunalt avløp,TOTN,291.08077564432284
Baseline,003,Kommunalt avløp,TOTP,3.5785066326374153
Baseline,003,Kommunalt avløp,TPP,3.097863345517632
Baseline,003,Spredt avløp,DIN,10.008936068926689
Baseline,003,Spredt avløp,SS,227.92934478021894
Baseline,003,Spredt avløp,TDP,0.8359446141538306
Baseline,003,Spredt avløp,TOC,38.60770643241029
Baseline,003,Spredt avløp,TON,3.5885708228798827
Baseline,003,Spredt avløp,TOTN,13.597506891806573
Baseline,003,Spredt avløp,TOTP,1.2325252655443755
Baseline,003,Spredt avløp,TPP,0.39658065139054477
Baseline,004,Akvakultur,DIN,0.002766666666666667
Baseline,004,Akvakultur,TDP,0.00019999999999999998
Baseline,004,Akvakultur,TOC,0.019233333333333335
Baseline,004,Akvakultur,TON,0.0012333333333333335
Baseline,004,Akvakultur,TOTN,0.004
Baseline,004,Akvakultur,TOTP,0.0007000000000000001
Baseline,004,Akvakultur,TPP,0.0005
Baseline,004,Bakgrunn,DIN,29.672065523826777
Baseline,004,Bakgrunn,SS,485.8113394059551
Baseline,004,Bakgrunn,TDP,0.3430249797268046
Baseline,004,Bakgrunn,TOC,1537.975400159254
Baseline,004,Bakgrunn,TON,25.151262528510852
Baseline,004,Bakgrunn,TOTN,54.82332805233764
Baseline,004,Bakgrunn,TOTP,1.4346054879782377
Baseline,004,Bakgrunn,TPP,1.0915805082514332
Baseline,004,Bebygd,DIN,14.306766666666666
Baseline,004,Bebygd,SS,510.95436666666666
Baseline,004,Bebygd,TDP,0.9197333333333333
Baseline,004,Bebygd,TOC,71.53366666666666
Baseline,004,Bebygd,TON,6.1315
Baseline,004,Bebygd,TOTN,20.438266666666667
Baseline,004,Bebygd,TOTP,1.5329666666666668
Baseline,004,Bebygd,TPP,0.6132333333333334
Baseline,004,Jordbruk,DIN,218.48278971444105
Baseline,004,Jordbruk,SS,8990.886091527535
Baseline,004,Jordbruk,TDP,2.1637509796050227
Baseline,004,Jordbruk,TOC,90.22732943398445
Baseline,004,Jordbruk,TON,54.993562756597576
Baseline,004,Jordbruk,TOTN,273.47635247103864
Baseline,004,Jordbruk,TOTP,16.221992895695532
Baseline,004,Jordbruk,TPP,14.058241916090507
Baseline,004,Kommunalt avløp,DIN,108.7416
Baseline,004,Kommunalt avløp,SS,140.2308
Baseline,004,Kommunalt avløp,TDP,0.2276
Baseline,004,Kommunalt avløp,TOC,142.06066666666666
Baseline,004,Kommunalt avløp,TON,41.69483333333333
Baseline,004,Kommunalt avløp,TOTN,150.43643333333333
Baseline,004,Kommunalt avløp,TOTP,1.7507333333333335
Baseline,004,Kommunalt avløp,TPP,1.5231333333333332
Baseline,004,Spredt avløp,DIN,8.698733333333333
Baseline,004,Spredt avløp,SS,224.45985231249998
Baseline,004,Spredt avløp,TDP,0.5315
Baseline,004,Spredt avløp,TOC,35.324466666666666
Baseline,004,Spredt avløp,TON,2.6021666666666667
Baseline,004,Spredt avløp,TOTN,11.3009
Baseline,004,Spredt avløp,TOTP,1.1170333333333333
Baseline,004,Spredt avløp,TPP,0.5855333333333334
Baseline,005,Bakgrunn,DIN,20.859407237290927
Baseline,005,Bakgrunn,SS,176.27899480098077
Baseline,005,Bakgrunn,TDP,0.2554811299050869
Baseline,005,Bakgrunn,TOC,1271.7046650366344
Baseline,005,Bakgrunn,TON,25.506153243777423
Baseline,005,Bakgrunn,TOTN,46.36556048106835
Baseline,005,Bakgrunn,TOTP,0.8504579234281254
Baseline,005,Bakgrunn,TPP,0.5949767935230384
Baseline,005,Bebygd,DIN,19.760159507057484
Baseline,005,Bebygd,SS,476.1576281787823
Baseline,005,Bebygd,TDP,1.4340399370598924
Baseline,005,Bebygd,TOC,99.55439623464262
Baseline,005,Bebygd,TON,9.734789934706681
Baseline,005,Bebygd,TOTN,29.494949441764167
Baseline,005,Bebygd,TOTP,2.021623834094766
Baseline,005,Bebygd,TPP,0.5875838970348733
Baseline,005,Jordbruk,DIN,114.58590453341894
Baseline,005,Jordbruk,SS,1550.4440852623195
Baseline,005,Jordbruk,TDP,1.3260399135992975
Baseline,005,Jordbruk,TOC,34.05821145666857
Baseline,005,Jordbruk,TON,35.69226678972394
Baseline,005,Jordbruk,TOTN,150.27817132314286
Baseline,005,Jordbruk,TOTP,4.076964118867032
Baseline,005,Jordbruk,TPP,2.7509242052677347
Baseline,005,Kommunalt avløp,DIN,79.45160346026667
Baseline,005,Kommunalt avløp,SS,124.6453938572
Baseline,005,Kommunalt avløp,TDP,0.9568998385333334
Baseline,005,Kommunalt avløp,TOC,138.84887700163333
Baseline,005,Kommunalt avløp,TON,26.422206242733335
Baseline,005,Kommunalt avløp,TOTN,105.873809703
Baseline,005,Kommunalt avløp,TOTP,2.4502744888000003
Baseline,005,Kommunalt avløp,TPP,1.4933746502666665
Baseline,005,Spredt avløp,DIN,9.754758828936144
Baseline,005,Spredt avløp,SS,148.66176447118397
Baseline,005,Spredt avløp,TDP,1.016495947249955
Baseline,005,Spredt avløp,TOC,52.703140781660636
Baseline,005,Spredt avløp,TON,4.525634955999309
Baseline,005,Spredt avløp,TOTN,14.28039378493545
Baseline,005,Spredt avløp,TOTP,1.7862548171139927
Baseline,005,Spredt avløp,TPP,0.7697588698640372
Baseline,006,Bakgrunn,DIN,17.729339248898594
Baseline,006,Bakgrunn,SS,96.90393740524051
Baseline,006,Bakgrunn,TDP,0.2793261085486078
Baseline,006,Bakgrunn,TOC,1560.2201925680808
Baseline,006,Bakgrunn,TON,41.114660545325385
Baseline,006,Bakgrunn,TOTN,58.843999794223976
Baseline,006,Bakgrunn,TOTP,0.6506909913230094
Baseline,006,Bakgrunn,TPP,0.3713648827744018
Baseline,006,Bebygd,DIN,63.059138829961114
Baseline,006,Bebygd,SS,2073.3656540411453
Baseline,006,Bebygd,TDP,4.205670789152588
Baseline,006,Bebygd,TOC,313.31129590266
Baseline,006,Bebygd,TON,28.1216659205847
Baseline,006,Bebygd,TOTN,91.18080475054582
Baseline,006,Bebygd,TOTP,6.559188148091117
Baseline,006,Bebygd,TPP,2.3535173589385283
Baseline,006,Industri,SS,72.62533333333333
Baseline,006,Jordbruk,DIN,9.998367826324731
Baseline,006,Jordbruk,SS,141.62817770083697
Baseline,006,Jordbruk,TDP,0.23794310211962263
Baseline,006,Jordbruk,TOC,0.6252076325119794
Baseline,006,Jordbruk,TON,3.093782974903051
Baseline,006,Jordbruk,TOTN,13.092150801227781
Baseline,006,Jordbruk,TOTP,0.6871825492526459
Baseline,006,Jordbruk,TPP,0.4492394471330232
Baseline,006,Kommunalt avløp,DIN,330.22513227950105
Baseline,006,Kommunalt avløp,SS,529.1136003645996
Baseline,006,Kommunalt avløp,TDP,8.354324579141865
Baseline,006,Kommunalt avløp,TOC,528.0306893756057
Baseline,006,Kommunalt avløp,TON,104.2806682824862
Baseline,006,Kommunalt avløp,TOTN,434.5058005619872
Baseline,006,Kommunalt avløp,TOTP,18.565156411873883
Baseline,006,Kommunalt avløp,TPP,10.210831832732019
Baseline,006,Spredt avløp,DIN,0.8324530900432993
Baseline,006,Spredt avløp,SS,243.17228659676263
Baseline,006,Spredt avløp,TDP,0.06714421963748167
Baseline,006,Spredt avløp,TOC,5.556370622606738
Baseline,006,Spredt avløp,TON,0.5514203499881822
Baseline,006,Spredt avløp,TOTN,1.3838734400314816
Baseline,006,Spredt avløp,TOTP,0.13130885013250904
Baseline,006,Spredt avløp,TPP,0.06416463049502737
Baseline,007,Bakgrunn,DIN,14.063366942395348
Baseline,007,Bakgrunn,SS,166.8059150511834
Baseline,007,Bakgrunn,TDP,0.25236162337839063
Baseline,007,Bakgrunn,TOC,1474.4344857711449
Baseline,007,Bakgrunn,TON,33.559834065336894
Baseline,007,Bakgrunn,TOTN,47.62320100773224
Baseline,007,Bakgrunn,TOTP,0.7860442407600683
Baseline,007,Bakgrunn,TPP,0.5336826173816777
Baseline,007,Bebygd,DIN,21.52936269733333
Baseline,007,Bebygd,SS,715.0333104373999
Baseline,007,Bebygd,TDP,1.3919741721333334
Baseline,007,Bebygd,TOC,104.04944257160001
Baseline,007,Bebygd,TON,9.393949216466666
Baseline,007,Bebygd,TOTN,30.923311913800003
Baseline,007,Bebygd,TOTP,2.124262579533333
Baseline,007,Bebygd,TPP,0.7322884074
Baseline,007,Jordbruk,DIN,12.872877600985033
Baseline,007,Jordbruk,SS,293.56137815781494
Baseline,007,Jordbruk,TDP,0.23639942701717467
Baseline,007,Jordbruk,TOC,0.9805173529253753
Baseline,007,Jordbruk,TON,3.8266628274584917
Baseline,007,Jordbruk,TOTN,16.699540428443523
Baseline,007,Jordbruk,TOTP,0.8692089427275604
Baseline,007,Jordbruk,TPP,0.6328095157103858
Baseline,007,Kommunalt avløp,DIN,0.011123128400000001
Baseline,007,Kommunalt avløp,SS,0.007880764799999999
Baseline,007,Kommunalt avløp,TOC,0.0049609336
Baseline,007,Kommunalt avløp,TON,0.0012709957
Baseline,007,Kommunalt avløp,TOTN,0.0123941241
Baseline,007,Kommunalt avløp,TOTP,5.78763999999999e-05
Baseline,007,Kommunalt avløp,TPP,5.78763999999999e-05
Baseline,007,Spredt avløp,DIN,0.8876761330368302
Baseline,007,Spredt avløp,SS,107.98444752252531
Baseline,007,Spredt avløp,TDP,0.06847582958140187
Baseline,007,Spredt avløp,TOC,5.874104264795477
Baseline,007,Spredt avløp,TON,0.5603221748161363
Baseline,007,Spredt avløp,TOTN,1.4479983078529663
Baseline,007,Spredt avløp,TOTP,0.14737251284077502
Baseline,007,Spredt avløp,TPP,0.07889668325937317
Baseline,008,Bakgrunn,DIN,17.095569600995063
Baseline,008,Bakgrunn,SS,260.7838230494484
Baseline,008,Bakgrunn,TDP,0.284871961307123
Baseline,008,Bakgrunn,TOC,1535.3149147187578
Baseline,008,Bakgrunn,TON,33.16913667711004
Baseline,008,Bakgrunn,TOTN,50.26470627810511
Baseline,008,Bakgrunn,TOTP,1.0464858499676664
Baseline,008,Bakgrunn,TPP,0.7616138886605435
Baseline,008,Bebygd,DIN,39.4586401564877
Baseline,008,Bebygd,SS,1313.1797836350036
Baseline,008,Bebygd,TDP,2.5612182063302886
Baseline,008,Bebygd,TOC,193.65904731708474
Baseline,008,Bebygd,TON,17.22345070115658
Baseline,008,Bebygd,TOTN,56.682090857644276
Baseline,008,Bebygd,TOTP,4.054926266068653
Baseline,008,Bebygd,TPP,1.493708059738365
Baseline,008,Jordbruk,DIN,48.719527349628464
Baseline,008,Jordbruk,SS,1662.7528547186976
Baseline,008,Jordbruk,TDP,0.6884872788680502
Baseline,008,Jordbruk,TOC,27.895909189605508
Baseline,008,Jordbruk,TON,13.084944916374804
Baseline,008,Jordbruk,TOTN,61.804472266003266
Baseline,008,Jordbruk,TOTP,3.382864132853905
Baseline,008,Jordbruk,TPP,2.6943768539858546
Baseline,008,Kommunalt avløp,DIN,0.4055666666666667
Baseline,008,Kommunalt avløp,SS,0.1632333333333333
Baseline,008,Kommunalt avløp,TDP,0.0005
Baseline,008,Kommunalt avløp,TOC,0.19223333333333334
Baseline,008,Kommunalt avløp,TON,0.045066666666666665
Baseline,008,Kommunalt avløp,TOTN,0.4506333333333334
Baseline,008,Kommunalt avløp,TOTP,0.0037333333333333333
Baseline,008,Kommunalt avløp,TPP,0.0032333333333333333
Baseline,008,Spredt avløp,DIN,2.800917387347138
Baseline,008,Spredt avløp,SS,120.34544642651156
Baseline,008,Spredt avløp,TDP,0.16300211721155217
Baseline,008,Spredt avløp,TOC,10.18891847056866
Baseline,008,Spredt avløp,TON,0.7344361264293852
Baseline,008,Spredt avløp,TOTN,3.535353513776523
Baseline,008,Spredt avløp,TOTP,0.3392831412925677
Baseline,008,Spredt avløp,TPP,0.17628102408101556
Baseline,009,Bakgrunn,DIN,16.523726307380876
Baseline,009,Bakgrunn,SS,200.64410756998913
Baseline,009,Bakgrunn,TDP,0.24605751848135818
Baseline,009,Bakgrunn,TOC,1178.9585593046706
Baseline,009,Bakgrunn,TON,27.512330313405965
Baseline,009,Bakgrunn,TOTN,44.03605662078684
Baseline,009,Bakgrunn,TOTP,0.7040823977466527
Baseline,009,Bakgrunn,TPP,0.45802487926529456
Baseline,009,Bebygd,DIN,24.643060941467173
Baseline,009,Bebygd,SS,682.2027988503356
Baseline,009,Bebygd,TDP,1.6590831645350939
Baseline,009,Bebygd,TOC,113.17771136991571
Baseline,009,Bebygd,TON,11.471862230682818
Baseline,009,Bebygd,TOTN,36.11492317214999
Baseline,009,Bebygd,TOTP,2.328456757144622
Baseline,009,Bebygd,TPP,0.6693735926095282
Baseline,009,Industri,DIN,5.803333333333334
Baseline,009,Industri,SS,3.1300000000000003
Baseline,009,Industri,TOC,49.06666666666666
Baseline,009,Industri,TON,52.23
Baseline,009,Industri,TOTN,58.03333333333333
Baseline,009,Jordbruk,DIN,67.61395999499234
Baseline,009,Jordbruk,SS,4842.010138645115
Baseline,009,Jordbruk,TDP,1.0236666140596613
Baseline,009,Jordbruk,TOC,95.42980812203274
Baseline,009,Jordbruk,TON,18.82963269407425
Baseline,009,Jordbruk,TOTN,86.44359268906659
Baseline,009,Jordbruk,TOTP,6.124859607773502
Baseline,009,Jordbruk,TPP,5.10119299371384
Baseline,009,Kommunalt avløp,DIN,881.7524639433335
Baseline,009,Kommunalt avløp,SS,2010.7444101005333
Baseline,009,Kommunalt avløp,TDP,16.697051233466667
Baseline,009,Kommunalt avløp,TOC,1785.5594094775997
Baseline,009,Kommunalt avløp,TON,279.70412578053333
Baseline,009,Kommunalt avløp,TOTN,1161.4565897238665
Baseline,009,Kommunalt avløp,TOTP,37.29927181036667
Baseline,009,Kommunalt avløp,TPP,20.6022205769
Baseline,009,Spredt avløp,DIN,5.89741838814759
Baseline,009,Spredt avløp,SS,207.86765727553328
Baseline,009,Spredt avløp,TDP,0.7768649198639895
Baseline,009,Spredt avløp,TOC,24.109127415126864
Baseline,009,Spredt avløp,TON,3.071951228295943
Baseline,009,Spredt avløp,TOTN,8.969369616443533
Baseline,009,Spredt avløp,TOTP,1.0637582905162486
Baseline,009,Spredt avløp,TPP,0.2868933706522592
Baseline,010,Bakgrunn,DIN,9.077835366408655
Baseline,010,Bakgrunn,SS,122.06336555137985
Baseline,010,Bakgrunn,TDP,0.13740343261956958
Baseline,010,Bakgrunn,TOC,791.5934284998597
Baseline,010,Bakgrunn,TON,16.006352546177386
Baseline,010,Bakgrunn,TOTN,25.084187912586042
Baseline,010,Bakgrunn,TOTP,0.514457877678662
Baseline,010,Bakgrunn,TPP,0.3770544450590924
Baseline,010,Bebygd,DIN,4.652410890584606
Baseline,010,Bebygd,SS,155.91098720539432
Baseline,010,Bebygd,TDP,0.3129191899164794
Baseline,010,Bebygd,TOC,23.50500156674425
Baseline,010,Bebygd,TON,2.0818715432872783
Baseline,010,Bebygd,TOTN,6.734282433871885
Baseline,010,Bebygd,TOTP,0.4977097295786424
Baseline,010,Bebygd,TPP,0.18479053966216305
Baseline,010,Jordbruk,DIN,36.72113028089865
Baseline,010,Jordbruk,SS,1127.620233294225
Baseline,010,Jordbruk,TDP,0.49089843196901906
Baseline,010,Jordbruk,TOC,10.655902391098625
Baseline,010,Jordbruk,TON,10.410190746848814
Baseline,010,Jordbruk,TOTN,47.13132102774747
Baseline,010,Jordbruk,TOTP,2.1738798313556664
Baseline,010,Jordbruk,TPP,1.6829813993866471
Baseline,010,Kommunalt avløp,DIN,10.8087
Baseline,010,Kommunalt avløp,SS,10.800433333333332
Baseline,010,Kommunalt avløp,TDP,0.0602
Baseline,010,Kommunalt avløp,TOC,15.384033333333333
Baseline,010,Kommunalt avløp,TON,3.9161333333333332
Baseline,010,Kommunalt avløp,TOTN,14.724833333333335
Baseline,010,Kommunalt avløp,TOTP,0.1843
Baseline,010,Kommunalt avløp,TPP,0.1241
Baseline,010,Spredt avløp,DIN,1.6976401684589912
Baseline,010,Spredt avløp,SS,88.02898946834462
Baseline,010,Spredt avløp,TDP,0.2516585850486878
Baseline,010,Spredt avløp,TOC,7.679639563746775
Baseline,010,Spredt avløp,TON,0.872208118982677
Baseline,010,Spredt avløp,TOTN,2.5698482874416686
Baseline,010,Spredt avløp,TOTP,0.359536009889303
Baseline,010,Spredt avløp,TPP,0.10787742484061519
Baseline,011,Bakgrunn,DIN,29.59155441927471
Baseline,011,Bakgrunn,SS,432.6576291869523
Baseline,011,Bakgrunn,TDP,0.4595618124225716
Baseline,011,Bakgrunn,TOC,2156.5399586388335
Baseline,011,Bakgrunn,TON,47.928361150995954
Baseline,011,Bakgrunn,TOTN,77.51991557027067
Baseline,011,Bakgrunn,TOTP,1.7054230065509266
Baseline,011,Bakgrunn,TPP,1.2458611941283548
Baseline,011,Bebygd,DIN,15.475966666666666
Baseline,011,Bebygd,SS,552.7141666666666
Baseline,011,Bebygd,TDP,0.9949666666666667
Baseline,011,Bebygd,TOC,77.38003333333334
Baseline,011,Bebygd,TON,6.632566666666666
Baseline,011,Bebygd,TOTN,22.108533333333337
Baseline,011,Bebygd,TOTP,1.6582000000000001
Baseline,011,Bebygd,TPP,0.6632333333333333
Baseline,011,Jordbruk,DIN,112.04129218382651
Baseline,011,Jordbruk,SS,12963.078622151244
Baseline,011,Jordbruk,TDP,2.39771785756836
Baseline,011,Jordbruk,TOC,249.14289776699465
Baseline,011,Jordbruk,TON,29.386335353900197
Baseline,011,Jordbruk,TOTN,141.42762753772672
Baseline,011,Jordbruk,TOTP,22.97427965483696
Baseline,011,Jordbruk,TPP,20.576561797268596
Baseline,011,Kommunalt avløp,DIN,88.77553333333333
Baseline,011,Kommunalt avløp,SS,94.41420000000001
Baseline,011,Kommunalt avløp,TDP,0.15073333333333336
Baseline,011,Kommunalt avløp,TOC,180.04346666666666
Baseline,011,Kommunalt avløp,TON,33.796933333333335
Baseline,011,Kommunalt avløp,TOTN,122.57246666666667
Baseline,011,Kommunalt avløp,TOTP,1.1547666666666667
Baseline,011,Kommunalt avløp,TPP,1.0040333333333333
Baseline,011,Spredt avløp,DIN,7.408880098
Baseline,011,Spredt avløp,SS,521.848883308786
Baseline,011,Spredt avløp,TDP,0.9035759073999999
Baseline,011,Spredt avløp,TOC,30.1626843741
Baseline,011,Spredt avløp,TON,3.241031396266667
Baseline,011,Spredt avløp,TOTN,10.649911494266668
Baseline,011,Spredt avløp,TOTP,1.4770790958
Baseline,011,Spredt avløp,TPP,0.5735031884
Baseline,012,Bakgrunn,DIN,566.0150641027673
Baseline,012,Bakgrunn,SS,3598.1925319236416
Baseline,012,Bakgrunn,TDP,12.197824951798182
Baseline,012,Bakgrunn,TOC,28455.684117069806
Baseline,012,Bakgrunn,TON,1467.457234993295
Baseline,012,Bakgrunn,TOTN,2033.4722990960624
Baseline,012,Bakgrunn,TOTP,19.658344829389907
Baseline,012,Bakgrunn,TPP,7.460519877591726
Baseline,012,Bebygd,DIN,115.26434415259916
Baseline,012,Bebygd,SS,2055.7522089681065
Baseline,012,Bebygd,TDP,7.3201535960123065
Baseline,012,Bebygd,TOC,477.11662220321864
Baseline,012,Bebygd,TON,56.09216512442155
Baseline,012,Bebygd,TOTN,171.3565092770207
Baseline,012,Bebygd,TOTP,9.734884097477078
Baseline,012,Bebygd,TPP,2.414730501464773
Baseline,012,Industri,DIN,2.222766666666667
Baseline,012,Industri,SS,12.862308044960058
Baseline,012,Industri,TDP,0.10933333333333332
Baseline,012,Industri,TOC,343.95436666666666
Baseline,012,Industri,TON,5.184233333333333
Baseline,012,Industri,TOTN,7.407
Baseline,012,Industri,TOTP,0.21866666666666665
Baseline,012,Industri,TPP,0.10933333333333332
Baseline,012,Jordbruk,DIN,1563.548506301272
Baseline,012,Jordbruk,SS,23483.759647034578
Baseline,012,Jordbruk,TDP,15.741850220220115
Baseline,012,Jordbruk,TOC,1591.688006342397
Baseline,012,Jordbruk,TON,514.2751476007932
Baseline,012,Jordbruk,TOTN,2077.823653902065
Baseline,012,Jordbruk,TOTP,47.31383595687421
Baseline,012,Jordbruk,TPP,31.571985736654085
Baseline,012,Kommunalt avløp,DIN,690.6945511190576
Baseline,012,Kommunalt avløp,SS,469.2546807564247
Baseline,012,Kommunalt avløp,TDP,1.222555390738185
Baseline,012,Kommunalt avløp,TOC,778.8916749463359
Baseline,012,Kommunalt avløp,TON,166.6228567907344
Baseline,012,Kommunalt avløp,TOTN,857.317407909792
Baseline,012,Kommunalt avløp,TOTP,5.96045155108735
Baseline,012,Kommunalt avløp,TPP,4.737896160349165
Baseline,012,Spredt avløp,DIN,95.5474393860794
Baseline,012,Spredt avløp,SS,3123.502478517072
Baseline,012,Spredt avløp,TDP,6.103557608474971
Baseline,012,Spredt avløp,TOC,259.9127691120473
Baseline,012,Spredt avløp,TON,30.513789691080547
Baseline,012,Spredt avløp,TOTN,126.06122907715995
Baseline,012,Spredt avløp,TOTP,8.400154769507287
Baseline,012,Spredt avløp,TPP,2.296597161032316
Baseline,013,Bakgrunn,DIN,39.94440473461428
