Scenario,Område,Kilde,Parameter,Verdi (tonn)
Baseline,001,Bakgrunn,DIN,109.07914521600522
Baseline,001,Bakgrunn,SS,485.5935577610285
Baseline,001,Bakgrunn,TDP,1.1387736504721333
Baseline,001,Bakgrunn,TOC,7407.268112541893
Baseline,001,Bakgrunn,TON,222.81591802087345
Baseline,001,Bakgrunn,TOTN,331.8950632368787
Baseline,001,Bakgrunn,TOTP,2.5605920636867374
Baseline,001,Bakgrunn,TPP,1.421818413214604
Baseline,001,Bebygd,DIN,14.765713852784456
Baseline,001,Bebygd,SS,368.46989070948695
Baseline,001,Bebygd,TDP,1.0118045894307148
Baseline,001,Bebygd,TOC,64.74298034254376
Baseline,001,Bebygd,TON,7.482436320640683
Baseline,001,Bebygd,TOTN,22.24815017342514
Baseline,001,Bebygd,TOTP,1.443960596893879
Baseline,001,Bebygd,TPP,0.43215600746316446
Baseline,001,Industri,DIN,22.8818
Baseline,001,Industri,SS,367.6666666666667
Baseline,001,Industri,TDP,4.035
Baseline,001,Industri,TOC,604.6666666666666
Baseline,001,Industri,TON,53.39086666666666
Baseline,001,Industri,TOTN,76.27266666666667
Baseline,001,Industri,TOTP,8.07
Baseline,001,Industri,TPP,4.035
Baseline,001,Jordbruk,DIN,403.9675231760816
Baseline,001,Jordbruk,SS,2895.8371453853783
Baseline,001,Jordbruk,TDP,3.2241509029609574
Baseline,001,Jordbruk,TOC,6.596643236248152
Baseline,001,Jordbruk,TON,132.1337161919831
Baseline,001,Jordbruk,TOTN,536.1012393680647
Baseline,001,Jordbruk,TOTP,7.334678540671227
Baseline,001,Jordbruk,TPP,4.110527637710269
Baseline,001,Kommunalt avløp,DIN,115.75479859933148
Baseline,001,Kommunalt avløp,SS,128.32358194231207
Baseline,001,Kommunalt avløp,TDP,0.3021824054117205
Baseline,001,Kommunalt avløp,TOC,100.7653933968853
Baseline,001,Kommunalt avløp,TON,16.620968785924514
Baseline,001,Kommunalt avløp,TOTN,132.375767385256
Baseline,001,Kommunalt avløp,TOTP,1.7199503485339662
Baseline,001,Kommunalt avløp,TPP,1.4177679431222459
Baseline,001,Spredt avløp,DIN,13.181853421124265
Baseline,001,Spredt avløp,SS,1115.0929143459605
Baseline,001,Spredt avløp,TDP,0.6255047219512344
Baseline,001,Spredt avløp,TOC,34.15090054660423
Baseline,001,Spredt avløp,TON,3.8353781926041286
Baseline,001,Spredt avløp,TOTN,17.017231613728395
Baseline,001,Spredt avløp,TOTP,0.9057538070294519
Baseline,001,Spredt avløp,TPP,0.2802490850782174
Baseline,002,Bakgrunn,DIN,1721.1680945278115
Baseline,002,Bakgrunn,SS,15608.548087082221
Baseline,002,Bakgrunn,TDP,30.797327741620546
Baseline,002,Bakgrunn,TOC,98046.34774300722
Baseline,002,Bakgrunn,TON,3720.6582424628687
Baseline,002,Bakgrunn,TOTN,5441.826336990681
Baseline,002,Bakgrunn,TOTP,65.79738721984684
Baseline,002,Bakgrunn,TPP,35.00005947822631
Baseline,002,Bebygd,DIN,310.52599955872284
Baseline,002,Bebygd,SS,5878.2489663592505
Baseline,002,Bebygd,TDP,19.428332829192204
Baseline,002,Bebygd,TOC,1278.1808399372005
Baseline,002,Bebygd,TON,147.00964712759298
Baseline,002,Bebygd,TOTN,457.5356466863159
Baseline,002,Bebygd,TOTP,25.121004005316724
Baseline,002,Bebygd,TPP,5.69267117612452
Baseline,002,Industri,DIN,47.80296959223284
Baseline,002,Industri,SS,269.3489890518854
Baseline,002,Industri,TDP,6.056703470019111
Baseline,002,Industri,TOC,4575.474829404098
Baseline,002,Industri,TON,133.34020113264083
Baseline,002,Industri,TOTN,181.14317072487367
Baseline,002,Industri,TOTP,11.92206844439565
Baseline,002,Industri,TPP,5.865364974376541
Baseline,002,Jordbruk,DIN,6946.874836156487
Baseline,002,Jordbruk,SS,175831.72709864736
Baseline,002,Jordbruk,TDP,60.78629172112079
Baseline,002,Jordbruk,TOC,2647.915571782893
Baseline,002,Jordbruk,TON,2005.7044215352842
Baseline,002,Jordbruk,TOTN,8952.57925769177
Baseline,002,Jordbruk,TOTP,257.99730921616384
Baseline,002,Jordbruk,TPP,197.21101749504305
Baseline,002,Kommunalt avløp,DIN,1932.8049826118925
Baseline,002,Kommunalt avløp,SS,1201.0258660469233
Baseline,002,Kommunalt avløp,TDP,8.334942848298182
Baseline,002,Kommunalt avløp,TOC,2088.7810221070436
Baseline,002,Kommunalt avløp,TON,531.4621807979411
Baseline,002,Kommunalt avløp,TOTN,2464.2671634098338
Baseline,002,Kommunalt avløp,TOTP,25.560875586324062
Baseline,002,Kommunalt avløp,TPP,17.225932738025886
Baseline,002,Spredt avløp,DIN,251.9225965766129
Baseline,002,Spredt avløp,SS,5773.514715923694
Baseline,002,Spredt avløp,TDP,13.347269816595393
Baseline,002,Spredt avløp,TOC,736.0152379629232
Baseline,002,Spredt avløp,TON,70.20754442458876
Baseline,002,Spredt avløp,TOTN,322.1301410012017
Baseline,002,Spredt avløp,TOTP,20.099508412240862
Baseline,002,Spredt avløp,TPP,6.752238595645468
Baseline,003,Bakgrunn,DIN,73.48798662794745
Baseline,003,Bakgrunn,SS,375.43162851698435
Baseline,003,Bakgrunn,TDP,0.8325287502651179
Baseline,003,Bakgrunn,TOC,3938.4764132882374
Baseline,003,Bakgrunn,TON,94.45012257415722
Baseline,003,Bakgrunn,TOTN,167.93810920210464
Baseline,003,Bakgrunn,TOTP,1.8119383910662732
Baseline,003,Bakgrunn,TPP,0.9794096408011556
Baseline,003,Bebygd,DIN,28.29119334480214
Baseline,003,Bebygd,SS,789.3482042527194
Baseline,003,Bebygd,TDP,2.019039235778417
Baseline,003,Bebygd,TOC,141.77434202739485
Baseline,003,Bebygd,TON,13.62550088496942
Baseline,003,Bebygd,TOTN,41.91669422977156
Baseline,003,Bebygd,TOTP,2.9458167848496117
Baseline,003,Bebygd,TPP,0.9267775490711944
Baseline,003,Industri,SS,2.267333333333333
Baseline,003,Industri,TDP,0.019
Baseline,003,Industri,TOC,1.4588
Baseline,003,Industri,TOTP,0.038
Baseline,003,Industri,TPP,0.019
Baseline,003,Jordbruk,DIN,421.1358801984832
Baseline,003,Jordbruk,SS,3053.2482879897484
Baseline,003,Jordbruk,TDP,5.017969841377205
Baseline,003,Jordbruk,TOC,37.25773832408909
Baseline,003,Jordbruk,TON,127.33699456853829
Baseline,003,Jordbruk,TOTN,548.4728747670215
Baseline,003,Jordbruk,TOTP,14.332282036615725
Baseline,003,Jordbruk,TPP,9.314312195238521
